lat,lon,alt,date,device,os,version
51.0836448669,1.17657983303,26.9692382812,2017-02-09 11:16:16,"iPhone8,1",11.2.6,1
51.0921020508,1.24275863171,32.3174934387,2017-02-09 11:22:40,"iPhone8,1",10.2.1,1.1
51.0921020508,1.24275863171,32.3174934387,2017-02-09 11:22:40,"iPhone8,1",11.2.6,1
51.1258621216,1.30534243584,11.4840936661,2017-02-09 11:29:04,"iPhone8,1",10.2.1,1.1
51.1258621216,1.30534243584,11.4840936661,2017-02-09 11:29:04,"iPhone8,1",11.2.6,1
51.1440238953,1.27764165401,23.3918266296,2017-02-09 11:52:32,"iPhone8,1",10.2.1,1.1
51.1440238953,1.27764165401,23.3918266296,2017-02-09 11:52:32,"iPhone8,1",11.2.6,1
51.2194519043,1.22100329399,30.9247264862,2017-02-09 11:58:56,"iPhone8,1",10.2.1,1.1
51.2194519043,1.22100329399,30.9247264862,2017-02-09 11:58:56,"iPhone8,1",11.2.6,1
51.2745399475,1.07617485523,13.499915123,2017-02-09 12:07:28,"iPhone8,1",10.2.1,1.1
51.2745399475,1.07617485523,13.499915123,2017-02-09 12:07:28,"iPhone8,1",11.2.6,1
51.2843589783,1.0706717968,17.5545139313,2017-02-09 12:11:44,"iPhone8,1",10.2.1,1.1
51.2843589783,1.0706717968,17.5545139313,2017-02-09 12:11:44,"iPhone8,1",11.2.6,1
51.2963752747,1.06396639347,67.8205947876,2017-02-09 12:22:24,"iPhone8,1",10.2.1,1.1
51.2963752747,1.06396639347,67.8205947876,2017-02-09 12:22:24,"iPhone8,1",11.2.6,1
51.2971038818,1.06790304184,50.3448562622,2017-02-09 15:28:00,"iPhone8,1",10.2.1,1.1
51.2971038818,1.06790304184,50.3448562622,2017-02-09 15:28:00,"iPhone8,1",11.2.6,1
51.2823905945,1.07431590557,55.3970413208,2017-02-09 18:03:44,"iPhone8,1",10.2.1,1.1
51.2823905945,1.07431590557,55.3970413208,2017-02-09 18:03:44,"iPhone8,1",11.2.6,1
51.2258300781,0.968910574913,16.7084884644,2017-02-09 18:33:36,"iPhone8,1",10.2.1,1.1
51.2258300781,0.968910574913,16.7084884644,2017-02-09 18:33:36,"iPhone8,1",11.2.6,1
51.1559486389,0.898846745491,48.1946601868,2017-02-09 18:37:52,"iPhone8,1",10.2.1,1.1
51.1559486389,0.898846745491,48.1946601868,2017-02-09 18:37:52,"iPhone8,1",11.2.6,1
51.1968269348,0.770680010319,41.3290405273,2017-02-09 18:48:32,"iPhone8,1",10.2.1,1.1
51.1968269348,0.770680010319,41.3290405273,2017-02-09 18:48:32,"iPhone8,1",11.2.6,1
51.290184021,0.55138117075,58.9768753052,2017-02-09 18:52:48,"iPhone8,1",10.2.1,1.1
51.290184021,0.55138117075,58.9768753052,2017-02-09 18:52:48,"iPhone8,1",11.2.6,1
51.3923072815,0.388305455446,53.1514472961,2017-02-09 18:59:12,"iPhone8,1",10.2.1,1.1
51.3923072815,0.388305455446,53.1514472961,2017-02-09 18:59:12,"iPhone8,1",11.2.6,1
51.4737014771,0.263002842665,38.3864440918,2017-02-09 19:05:36,"iPhone8,1",10.2.1,1.1
51.4737014771,0.263002842665,38.3864440918,2017-02-09 19:05:36,"iPhone8,1",11.2.6,1
51.5413475037,0.0150017626584,8.72053813934,2017-02-09 19:12:00,"iPhone8,1",10.2.1,1.1
51.5413475037,0.0150017626584,8.72053813934,2017-02-09 19:12:00,"iPhone8,1",11.2.6,1
51.5432014465,-0.0112223224714,34.3577384949,2017-02-09 19:20:32,"iPhone8,1",10.2.1,1.1
51.5432014465,-0.0112223224714,34.3577384949,2017-02-09 19:20:32,"iPhone8,1",11.2.6,1
51.5472717285,-0.0288998689502,10.9009656906,2017-02-09 19:24:48,"iPhone8,1",10.2.1,1.1
51.5472717285,-0.0288998689502,10.9009656906,2017-02-09 19:24:48,"iPhone8,1",11.2.6,1
51.5388793945,-0.0417511239648,12.0938110352,2017-02-09 19:31:12,"iPhone8,1",10.2.1,1.1
51.5388793945,-0.0417511239648,12.0938110352,2017-02-09 19:31:12,"iPhone8,1",11.2.6,1
51.529384613,-0.0551191717386,14.2999897003,2017-02-09 19:37:36,"iPhone8,1",10.2.1,1.1
51.529384613,-0.0551191717386,14.2999897003,2017-02-09 19:37:36,"iPhone8,1",11.2.6,1
51.5277748108,-0.0557856783271,0,2017-02-09 20:54:24,"iPhone8,1",10.2.1,1.1
51.5277748108,-0.0557856783271,0,2017-02-09 20:54:24,"iPhone8,1",11.2.6,1
51.5318717957,-0.0508086420596,16.708316803,2017-02-09 21:02:56,"iPhone8,1",10.2.1,1.1
51.5318717957,-0.0508086420596,16.708316803,2017-02-09 21:02:56,"iPhone8,1",11.2.6,1
51.5368309021,-0.0490399338305,15.9935026169,2017-02-09 21:11:28,"iPhone8,1",10.2.1,1.1
51.5368309021,-0.0490399338305,15.9935026169,2017-02-09 21:11:28,"iPhone8,1",11.2.6,1
51.531703949,-0.0497492328286,15.0897293091,2017-02-10 09:25:20,"iPhone8,1",10.2.1,1.1
51.531703949,-0.0497492328286,15.0897293091,2017-02-10 09:25:20,"iPhone8,1",11.2.6,1
51.5297317505,-0.0545650944114,14.6320180893,2017-02-10 09:38:08,"iPhone8,1",10.2.1,1.1
51.5297317505,-0.0545650944114,14.6320180893,2017-02-10 09:38:08,"iPhone8,1",11.2.6,1
51.5104675293,-0.18690007925,28.9376754761,2017-02-10 15:45:04,"iPhone8,1",10.2.1,1.1
51.5104675293,-0.18690007925,28.9376754761,2017-02-10 15:45:04,"iPhone8,1",11.2.6,1
51.508480072,-0.195993617177,28.2010231018,2017-02-10 15:49:20,"iPhone8,1",10.2.1,1.1
51.508480072,-0.195993617177,28.2010231018,2017-02-10 15:49:20,"iPhone8,1",11.2.6,1
51.4971542358,-0.19700551033,9.677526474,2017-02-10 16:02:08,"iPhone8,1",10.2.1,1.1
51.4971542358,-0.19700551033,9.677526474,2017-02-10 16:02:08,"iPhone8,1",11.2.6,1
51.4969024658,-0.196899712086,8.90838718414,2017-02-10 16:21:20,"iPhone8,1",10.2.1,1.1
51.4969024658,-0.196899712086,8.90838718414,2017-02-10 16:21:20,"iPhone8,1",11.2.6,1
51.5002746582,-0.192137256265,18.4171981812,2017-02-10 16:34:08,"iPhone8,1",10.2.1,1.1
